,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,25,25,25,25
Reserves,23,68,63,57,63,79,83
Borrowings +,13,15,11,11,10,5,5
Other Liabilities +,2,4,11,12,20,26,31
Total Liabilities,51,100,97,105,117,135,144
Fixed Assets +,15,57,56,57,65,63,71
CWIP,0,0,0,0,0,0,0
Investments,0,10,6,1,1,11,3
Other Assets +,35,32,35,46,51,61,71
Total Assets,51,100,97,105,117,135,144
