,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,816",832,"1,787","1,822","1,648"
Expenses +,"1,310","1,074","1,375","1,310","1,176"
Operating Profit,506,-242,411,512,472
OPM %,28%,-29%,23%,28%,29%
Other Income +,37,57,35,50,60
Interest,60,62,64,30,18
Depreciation,253,291,295,150,177
Profit before tax,230,-538,87,382,337
Tax %,37%,-6%,-26%,2%,
Net Profit,145,-569,110,374,344
EPS in Rs,1.57,-6.16,1.19,3.87,3.56
