,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10
Reserves,313,327,384,394
Borrowings +,0,0,0,0
Other Liabilities +,99,94,132,134
Total Liabilities,422,431,525,538
Fixed Assets +,171,212,203,212
CWIP,12,2,31,59
Investments,44,0,0,0
Other Assets +,194,217,292,267
Total Assets,422,431,525,538
