,Mar 2016,Mar 2017,Mar 2022,Sep 2022
Share Capital +,55,70,16,16
Reserves,6,6,669,690
Borrowings +,81,37,41,63
Other Liabilities +,94,145,150,156
Total Liabilities,186,192,875,925
Fixed Assets +,74,131,386,393
CWIP,20,6,28,44
Investments,1,1,0,0
Other Assets +,91,55,461,487
Total Assets,186,192,875,925
