,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,8,9,11,11,11,11,11
Reserves,218,359,"1,057","1,138","1,227","1,980","2,358"
Borrowings +,418,425,826,773,"1,351","1,215","1,167"
Other Liabilities +,164,199,537,661,787,"1,165","1,250"
Total Liabilities,808,991,"2,432","2,584","3,376","4,372","4,787"
Fixed Assets +,359,445,"1,123","1,307","1,296","2,082","2,153"
CWIP,107,144,143,159,132,121,22
Investments,0,0,269,249,"1,059","1,400","1,598"
Other Assets +,342,402,898,868,890,769,"1,013"
Total Assets,808,991,"2,432","2,584","3,376","4,372","4,787"
