,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,5,5,6,6,8,8,8,8
Reserves,54,25,21,28,41,9,22,138,141,88,105,120,106
Borrowings +,253,261,287,729,919,"1,195","1,556","2,026","2,557","2,454","1,671","1,526","1,572"
Other Liabilities +,24,115,224,399,526,497,563,569,689,427,186,213,286
Total Liabilities,336,405,536,"1,161","1,490","1,707","2,145","2,739","3,393","2,974","1,968","1,867","1,971"
Fixed Assets +,12,12,11,11,11,13,59,71,72,58,52,50,49
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,121,97,84,113,192,175,92,178,195,265,90,104,137
Other Assets +,203,296,441,"1,037","1,288","1,519","1,995","2,490","3,125","2,650","1,826","1,714","1,784"
Total Assets,336,405,536,"1,161","1,490","1,707","2,145","2,739","3,393","2,974","1,968","1,867","1,971"
