,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,13
Reserves,75,109,121,134,173
Borrowings +,12,11,19,26,28
Other Liabilities +,38,49,42,53,44
Total Liabilities,137,181,194,226,259
Fixed Assets +,24,34,90,92,93
CWIP,15,40,0,0,0
Investments,0,0,0,0,0
Other Assets +,97,107,104,133,166
Total Assets,137,181,194,226,259
