,Mar 2017,Mar 2018
Sales +,454,424
Expenses +,436,406
Operating Profit,18,17
OPM %,4%,4%
Other Income +,5,5
Interest,8,7
Depreciation,4,5
Profit before tax,10,11
Tax %,25%,23%
Net Profit,8,8
EPS in Rs,1.24,1.23
