,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,161,161,161,161,161,161,164,164,165,166,166,167,167
Reserves,150,173,204,217,254,309,750,882,998,"1,020","1,119","1,279","1,363"
Borrowings +,0,80,147,152,147,26,15,5,0,7,6,6,7
Other Liabilities +,135,137,147,203,193,186,233,279,279,250,324,380,349
Total Liabilities,446,552,659,732,755,682,"1,161","1,331","1,442","1,442","1,615","1,830","1,885"
Fixed Assets +,99,93,320,320,311,307,543,528,657,797,918,909,894
CWIP,35,128,4,3,3,6,4,42,131,156,14,8,12
Investments,0,0,22,22,22,22,176,281,130,54,68,53,123
Other Assets +,312,330,312,386,418,347,438,480,524,434,614,859,856
Total Assets,446,552,659,732,755,682,"1,161","1,331","1,442","1,442","1,615","1,830","1,885"
