,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,9,9,9,9,9,9,9,9,9
Reserves,397,461,518,513,602,"2,514","2,707","2,877","3,044","3,201","3,475","3,750","3,800"
Borrowings +,238,239,451,408,413,363,336,213,187,238,152,224,272
Other Liabilities +,149,155,145,117,140,173,211,217,224,266,332,339,347
Total Liabilities,794,864,"1,123","1,047","1,164","3,059","3,263","3,315","3,464","3,713","3,968","4,322","4,427"
Fixed Assets +,240,300,291,411,407,407,424,424,443,467,472,523,528
CWIP,32,17,110,12,10,22,11,10,5,21,36,19,39
Investments,198,198,198,198,261,"2,129","2,270","2,366","2,477","2,602","2,817","3,053","3,039"
Other Assets +,325,349,524,427,487,501,558,515,539,624,643,726,821
Total Assets,794,864,"1,123","1,047","1,164","3,059","3,263","3,315","3,464","3,713","3,968","4,322","4,427"
