,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10.69,10.69,10.69,10.69,10.69,10.69
Reserves,21.73,26.82,27.62,23.45,20.81,20.59
Borrowings +,11.79,10.05,2.76,4.15,3.76,2.26
Other Liabilities +,4.57,6.59,4.78,5.94,3.50,3.19
Total Liabilities,48.78,54.15,45.85,44.23,38.76,36.73
Fixed Assets +,2.74,5.52,4.86,3.93,3.66,3.74
CWIP,0.00,0.02,0.00,0.00,0.20,0.02
Investments,4.01,0.00,0.00,0.00,0.00,0.00
Other Assets +,42.03,48.61,40.99,40.30,34.90,32.97
Total Assets,48.78,54.15,45.85,44.23,38.76,36.73
