,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,44.27,44.27,44.27,44.27,44.27,44.27,44.27,44.27,44.27,44.27,44.27,73.77,73.77
Reserves,162.94,169.92,169.58,166.31,125.57,83.59,87.38,91.01,93.05,96.10,97.38,110.73,114.99
Borrowings +,87.21,99.78,107.58,92.05,93.64,98.11,45.98,47.05,40.82,40.15,34.45,29.03,149.23
Other Liabilities +,25.24,21.59,38.82,48.67,48.77,55.95,95.52,114.50,143.60,150.74,141.23,72.62,37.53
Total Liabilities,319.66,335.56,360.25,351.30,312.25,281.92,273.15,296.83,321.74,331.26,317.33,286.15,375.52
Fixed Assets +,201.11,215.84,209.17,204.71,192.54,193.73,186.87,141.09,207.73,242.75,247.98,204.11,178.99
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.61,30.81,0.00,0.00,0.00,0.00
Investments,12.12,12.12,12.12,12.12,12.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.13
Other Assets +,106.43,107.60,138.96,134.47,107.59,88.19,86.28,98.13,83.20,88.51,69.35,82.04,152.40
Total Assets,319.66,335.56,360.25,351.30,312.25,281.92,273.15,296.83,321.74,331.26,317.33,286.15,375.52
