,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,19,19,19,19,25,25,33
Reserves,-123,-166,-185,-198,-89,-85,269
Borrowings +,340,365,372,396,321,338,52
Other Liabilities +,114,124,148,178,169,193,216
Total Liabilities,350,342,353,395,426,471,570
Fixed Assets +,178,195,191,184,179,193,220
CWIP,15,0,0,1,2,8,19
Investments,-0,-0,-0,-0,-0,-0,-0
Other Assets +,157,146,162,210,245,271,331
Total Assets,350,342,353,395,426,471,570
