,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,872","8,240","5,575","5,081","5,199","2,998"
Expenses +,"6,330","7,582","5,246","5,458","6,102","3,900"
Operating Profit,542,658,329,-377,-903,-902
OPM %,8%,8%,6%,-7%,-17%,-30%
Other Income +,13,209,303,158,95,136
Interest,23,100,220,105,87,104
Depreciation,3,8,14,17,15,15
Profit before tax,529,759,398,-340,-910,-885
Tax %,15%,16%,24%,15%,-1%,
Net Profit,451,638,304,-290,-916,-880
EPS in Rs,281.98,39.85,19.34,-17.80,-47.94,-46.31
