,Jun 2009,Jun 2010,Jun 2011,Jun 2012
Share Capital +,26,26,26,26
Reserves,126,155,192,237
Borrowings +,88,124,249,365
Other Liabilities +,48,60,26,57
Total Liabilities,288,366,493,686
Fixed Assets +,108,115,124,165
CWIP,0,1,14,4
Investments,0,0,0,0
Other Assets +,180,250,355,517
Total Assets,288,366,493,686
