,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,360,413,437,464,530,576,699,790,851,808,750,762,797
Borrowings +,310,373,385,429,470,596,459,501,577,633,672,788,823
Other Liabilities +,464,535,535,532,636,703,670,773,778,708,834,896,944
Total Liabilities,"1,149","1,336","1,371","1,439","1,649","1,889","1,842","2,078","2,221","2,163","2,271","2,460","2,577"
Fixed Assets +,561,661,707,745,809,980,780,805,798,806,801,843,846
CWIP,44,37,41,30,55,21,32,28,33,52,34,28,50
Investments,17,22,17,26,32,28,307,347,387,369,379,353,362
Other Assets +,526,616,606,638,753,860,722,897,"1,003",937,"1,056","1,236","1,319"
Total Assets,"1,149","1,336","1,371","1,439","1,649","1,889","1,842","2,078","2,221","2,163","2,271","2,460","2,577"
