,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,11,11,11,11,11,11
Reserves,24,28,28,29,30,23
Borrowings +,23,35,35,36,33,39
Other Liabilities +,26,22,26,34,35,43
Total Liabilities,83,95,101,110,110,117
Fixed Assets +,20,22,35,36,39,47
CWIP,0,0,0,0,0,0
Investments,1,1,1,1,0,2
Other Assets +,62,73,66,73,70,68
Total Assets,83,95,101,110,110,117
