,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,162,162,167,167,185,180,180,180,180,180,180,180,180
Reserves,312,332,319,341,403,463,529,657,760,"1,205","1,353","1,569","2,585"
Borrowings +,440,608,506,477,421,250,330,341,352,387,268,587,578
Other Liabilities +,263,332,377,330,333,355,342,389,477,637,588,751,939
Total Liabilities,"1,177","1,434","1,368","1,314","1,342","1,248","1,381","1,566","1,769","2,409","2,389","3,087","4,282"
Fixed Assets +,345,419,620,586,572,543,513,515,537,"1,147","1,190","1,252","1,218"
CWIP,213,261,58,37,29,26,69,130,202,233,173,373,450
Investments,0,0,4,4,4,7,9,9,12,11,16,17,"1,243"
Other Assets +,619,754,686,686,736,671,791,913,"1,019","1,019","1,011","1,445","1,371"
Total Assets,"1,177","1,434","1,368","1,314","1,342","1,248","1,381","1,566","1,769","2,409","2,389","3,087","4,282"
