,Mar 2013,Mar 2014,Mar 2016,Mar 2017
Sales +,"8,471","4,141","1,196",235
Expenses +,"8,310","4,352","1,300",384
Operating Profit,161,-212,-104,-149
OPM %,2%,-5%,-9%,-63%
Other Income +,-7,0,6,6
Interest,64,141,193,176
Depreciation,20,17,24,1
Profit before tax,70,-369,-316,-319
Tax %,25%,1%,7%,0%
Net Profit,52,-364,-295,-319
EPS in Rs,21.36,-149.31,-121.12,-130.92
