,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,TTM
Sales +,591,789,894,"1,126","1,999","2,937","3,362"
Expenses +,550,756,818,"1,099","1,688","2,579","2,966"
Operating Profit,41,33,76,27,311,358,395
OPM %,7%,4%,9%,2%,16%,12%,12%
Other Income +,20,39,26,23,39,31,31
Interest,1,2,3,5,9,19,28
Depreciation,9,10,14,19,21,21,21
Profit before tax,51,61,85,26,320,348,377
Tax %,27%,22%,27%,34%,26%,25%,
Net Profit,37,47,62,17,237,260,282
EPS in Rs,,6.50,8.49,2.37,33.69,37.70,40.82
