,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7
Reserves,169,179,185,216,260,266
Borrowings +,96,3,61,67,10,40
Other Liabilities +,104,147,151,58,74,72
Total Liabilities,375,335,403,348,350,385
Fixed Assets +,69,68,99,88,77,78
CWIP,6,28,3,0,5,4
Investments,7,17,11,25,52,112
Other Assets +,295,223,291,235,216,192
Total Assets,375,335,403,348,350,385
