,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,19,19
Reserves,21,28,29
Borrowings +,25,19,24
Other Liabilities +,34,24,29
Total Liabilities,98,89,101
Fixed Assets +,11,12,11
CWIP,0,0,0
Investments,0,0,0
Other Assets +,88,78,90
Total Assets,98,89,101
