,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,27,27,32,32,32,32,32,32
Reserves,228,229,285,365,436,510,638,"1,147","1,297","1,449","1,724","1,966","2,165"
Borrowings +,"1,116","1,221","1,413","1,502","1,692","1,597","1,610","1,548","1,690","1,764","1,570","1,320","1,392"
Other Liabilities +,154,123,249,299,291,330,460,529,554,573,787,"1,042",717
Total Liabilities,"1,524","1,598","1,973","2,193","2,445","2,464","2,735","3,256","3,573","3,818","4,112","4,359","4,306"
Fixed Assets +,270,330,339,350,370,361,374,566,601,906,880,905,907
CWIP,53,5,12,19,15,24,40,28,42,17,33,35,46
Investments,3,5,5,5,7,6,14,14,36,33,29,25,90
Other Assets +,"1,198","1,258","1,617","1,819","2,053","2,072","2,308","2,648","2,894","2,862","3,171","3,394","3,264"
Total Assets,"1,524","1,598","1,973","2,193","2,445","2,464","2,735","3,256","3,573","3,818","4,112","4,359","4,306"
