,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,32,38,43,45,45,48,30,155,107,107,107,30
Reserves,276,272,192,157,82,278,-90,-209,-511,-626,-747,-854
Borrowings +,326,383,484,524,565,652,772,642,562,559,559,107
Other Liabilities +,128,169,134,114,108,106,202,427,460,589,727,"1,201"
Total Liabilities,755,850,835,825,785,"1,066",914,890,541,552,568,484
Fixed Assets +,406,500,610,571,542,892,739,716,356,339,322,205
CWIP,79,116,4,1,0,0,0,0,0,0,0,0
Investments,4,0,0,0,0,0,1,0,2,2,2,2
Other Assets +,267,233,221,253,242,174,175,175,182,210,244,276
Total Assets,755,850,835,825,785,"1,066",914,890,541,552,568,484
