,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,142,161,161,161,161,161,161,161
Reserves,-25,39,37,20,2,-40,-76,-108
Borrowings +,11,28,78,122,215,198,254,255
Other Liabilities +,123,119,154,160,290,162,160,207
Total Liabilities,214,310,393,426,630,444,462,478
Fixed Assets +,100,127,153,194,124,172,164,158
CWIP,1,10,0,0,161,145,159,191
Investments,0,0,0,0,1,0,10,0
Other Assets +,113,172,240,232,344,126,128,129
Total Assets,214,310,393,426,630,444,462,478
