,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,20,30,30,30,30,30,30,30,30
Reserves,609,662,735,792,840,868,928,983,"1,100","1,141","1,030","1,053","1,122"
Borrowings +,146,290,330,324,265,395,283,528,"1,141","1,105","1,025",343,303
Other Liabilities +,"1,381","2,733","2,737","3,231","4,104","3,476","2,648","2,023","1,017",532,464,341,274
Total Liabilities,"2,142","3,691","3,809","4,353","5,229","4,769","3,889","3,563","3,288","2,808","2,549","1,767","1,728"
Fixed Assets +,68,164,54,61,59,35,86,147,166,164,81,79,75
CWIP,10,13,0,0,0,0,0,0,1,0,0,0,0
Investments,192,149,"1,683","1,771","2,057","1,873",273,338,50,24,12,59,152
Other Assets +,"1,873","3,365","2,072","2,521","3,112","2,862","3,529","3,078","3,070","2,620","2,456","1,630","1,502"
Total Assets,"2,142","3,691","3,809","4,353","5,229","4,769","3,889","3,563","3,288","2,808","2,549","1,767","1,728"
