,Mar 2015,Mar 2016
Sales +,881,843
Expenses +,833,792
Operating Profit,47,52
OPM %,5%,6%
Other Income +,3,2
Interest,14,11
Depreciation,20,16
Profit before tax,17,27
Tax %,40%,36%
Net Profit,10,17
EPS in Rs,0.58,0.98
