,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Sep 2015
Share Capital +,12,13,13,13,13,13,13,13,13,15
Reserves,5,17,24,41,54,66,75,81,86,109
Borrowings +,29,49,54,50,70,96,118,105,97,43
Other Liabilities +,18,17,27,36,52,66,59,65,70,79
Total Liabilities,63,96,119,139,189,242,265,264,267,246
Fixed Assets +,28,42,55,65,79,113,127,147,135,121
CWIP,1,5,1,6,19,7,6,1,1,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,35,49,63,68,91,122,132,116,130,124
Total Assets,63,96,119,139,189,242,265,264,267,246
