,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,29,36,36,36,36,36,36
Reserves,61,76,265,333,418,500,651,684
Borrowings +,47,75,30,31,80,84,100,158
Other Liabilities +,142,148,268,335,429,372,484,547
Total Liabilities,253,328,600,735,963,991,"1,270","1,424"
Fixed Assets +,54,52,78,103,108,116,207,199
CWIP,0,0,2,0,0,42,0,0
Investments,14,18,16,1,1,1,1,1
Other Assets +,185,258,504,631,854,833,"1,062","1,224"
Total Assets,253,328,600,735,963,991,"1,270","1,424"
