,Mar 2015,Mar 2016
Sales +,"2,686","2,704"
Expenses +,"2,014","1,842"
Operating Profit,672,862
OPM %,25%,32%
Other Income +,8,27
Interest,77,19
Depreciation,332,248
Profit before tax,271,621
Tax %,16%,26%
Net Profit,233,461
EPS in Rs,60.15,"2,409,000.00"
