,Mar 2012,Mar 2013
Share Capital +,16,16
Reserves,30,41
Borrowings +,11,19
Other Liabilities +,63,82
Total Liabilities,120,158
Fixed Assets +,21,38
CWIP,0,0
Investments,1,0
Other Assets +,99,121
Total Assets,120,158
