,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,14,28,28,28
Reserves,245,374,475,586,612
Borrowings +,77,138,209,363,299
Other Liabilities +,120,145,165,209,215
Total Liabilities,448,669,876,"1,185","1,154"
Fixed Assets +,150,276,510,543,551
CWIP,66,129,46,112,136
Investments,12,23,6,8,60
Other Assets +,221,241,314,522,408
Total Assets,448,669,876,"1,185","1,154"
