,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3,3,3,3,3,3
Reserves,39,46,56,66,75,84,91,101,118,135,170,204,225
Borrowings +,3,5,7,4,5,2,1,0,0,-0,0,0,0
Other Liabilities +,8,6,13,6,9,8,10,12,11,10,17,14,22
Total Liabilities,54,60,79,80,92,97,106,117,132,149,190,222,250
Fixed Assets +,3,3,3,3,11,21,52,51,50,46,89,91,92
CWIP,-0,-0,-0,1,2,2,1,1,1,1,1,1,1
Investments,8,21,22,35,14,32,23,20,37,18,30,4,16
Other Assets +,42,36,54,42,65,43,29,45,44,84,70,126,140
Total Assets,54,60,79,80,92,97,106,117,132,149,190,222,250
