,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,38,38,188,37,37,37,37,37,37,37,37
Reserves,462,579,693,710,"1,072","1,104",901,873,738,715,117
Borrowings +,381,747,946,"2,062","2,343","3,217","3,446","2,975","2,859","3,151","3,104"
Other Liabilities +,149,157,396,283,247,499,628,"1,398","1,617","1,071","1,122"
Total Liabilities,992,"1,521","2,074","3,093","3,700","4,857","5,013","5,283","5,251","4,974","4,380"
Fixed Assets +,599,967,"1,000","1,586","2,029","2,389","2,035","1,707","1,497","1,242",968
CWIP,183,322,391,872,"1,184","1,759","2,417","2,844","3,084","3,009","1,736"
Investments,0,0,18,0,0,0,0,0,0,0,0
Other Assets +,210,232,665,635,487,709,560,732,669,723,"1,677"
Total Assets,992,"1,521","2,074","3,093","3,700","4,857","5,013","5,283","5,251","4,974","4,380"
