,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,30,30,30
Reserves,88,102,115,109,125,132
Borrowings +,130,142,147,141,177,181
Other Liabilities +,107,114,84,88,97,150
Total Liabilities,340,373,361,368,429,493
Fixed Assets +,64,73,117,109,110,110
CWIP,5,38,1,5,15,20
Investments,0,0,0,0,0,4
Other Assets +,271,262,242,254,304,359
Total Assets,340,373,361,368,429,493
