,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,20,23,23,23,11,11,11,11,11,23,23,23
Reserves,394,788,808,999,543,562,559,483,293,177,-66,-157
Borrowings +,215,250,396,366,377,355,501,466,352,252,197,165
Other Liabilities +,247,314,307,414,98,106,95,85,55,49,115,149
Total Liabilities,876,"1,376","1,534","1,801","1,030","1,035","1,167","1,045",711,501,270,180
Fixed Assets +,273,356,436,688,102,92,82,69,52,65,59,58
CWIP,161,227,299,98,0,0,0,0,0,0,0,0
Investments,43,196,115,164,55,68,47,45,56,50,50,13
Other Assets +,399,597,684,851,872,874,"1,038",930,602,386,161,109
Total Assets,876,"1,376","1,534","1,801","1,030","1,035","1,167","1,045",711,501,270,180
