,Jun 2019,Jun 2020,Jun 2021,Jun 2022
Share Capital +,22,22,22,22
Reserves,501,534,564,624
Borrowings +,10,13,0,0
Other Liabilities +,233,130,192,184
Total Liabilities,766,699,777,830
Fixed Assets +,184,247,225,215
CWIP,67,32,52,77
Investments,0,0,0,0
Other Assets +,515,420,500,538
Total Assets,766,699,777,830
