,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6.00,8.20,8.20,8.20,10.25,10.25,10.25,10.25
Reserves,25.63,49.42,52.58,58.60,58.96,61.04,57.45,56.83
Borrowings +,7.19,0.00,0.00,0.00,5.35,0.62,3.97,0.37
Other Liabilities +,6.33,7.55,3.28,5.99,3.89,7.25,5.56,4.83
Total Liabilities,45.15,65.17,64.06,72.79,78.45,79.16,77.23,72.28
Fixed Assets +,8.73,10.80,12.50,26.80,37.53,28.10,36.31,36.52
CWIP,0.00,0.00,0.00,0.00,0.00,11.15,1.60,0.00
Investments,1.01,22.01,24.66,1.93,1.75,2.04,1.94,1.83
Other Assets +,35.41,32.36,26.90,44.06,39.17,37.87,37.38,33.93
Total Assets,45.15,65.17,64.06,72.79,78.45,79.16,77.23,72.28
