,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,20,20,20,27,27,27,27,27,27,27,27,27
Reserves,86,106,129,155,290,338,399,466,545,570,549,555,559
Borrowings +,108,110,122,183,137,212,296,201,202,251,269,254,288
Other Liabilities +,29,36,25,55,34,35,58,37,56,54,31,53,80
Total Liabilities,228,272,295,412,488,613,780,731,830,902,877,889,955
Fixed Assets +,35,36,35,34,30,30,35,33,32,34,27,22,34
CWIP,0,0,0,0,0,1,0,0,0,0,0,0,0
Investments,6,10,9,9,17,8,7,7,6,3,3,3,3
Other Assets +,186,226,251,369,442,574,738,691,792,865,847,864,918
Total Assets,228,272,295,412,488,613,780,731,830,902,877,889,955
