,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,522,671,854,"1,014","1,186","1,290","1,670","1,869","2,129","2,236","3,144","3,819","3,886"
Borrowings +,514,351,470,473,393,412,279,248,162,441,38,46,42
Other Liabilities +,463,484,684,668,753,697,832,793,913,917,"1,075","1,106","1,118"
Total Liabilities,"1,525","1,532","2,032","2,179","2,357","2,425","2,807","2,936","3,229","3,619","4,282","4,996","5,071"
Fixed Assets +,742,739,"1,028","1,088","1,033","1,185","1,263","1,353","1,521","1,608","1,714","1,767","1,798"
CWIP,26,34,33,18,100,68,47,75,90,93,51,156,217
Investments,92,89,110,107,121,126,175,194,222,207,337,476,513
Other Assets +,666,670,862,966,"1,104","1,046","1,322","1,314","1,396","1,711","2,180","2,597","2,543"
Total Assets,"1,525","1,532","2,032","2,179","2,357","2,425","2,807","2,936","3,229","3,619","4,282","4,996","5,071"
