,Mar 2015,Mar 2016
Share Capital +,38,38
Reserves,"1,448","1,896"
Borrowings +,646,466
Other Liabilities +,457,617
Total Liabilities,"2,589","3,017"
Fixed Assets +,"1,630","1,418"
CWIP,7,47
Investments,0,0
Other Assets +,951,"1,552"
Total Assets,"2,589","3,017"
