,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,13,13,13,13,13,13,13,13,13
Reserves,80,86,88,118,156,179,197,177,206,192,210,191,182
Borrowings +,61,64,62,53,89,81,279,390,357,372,374,320,295
Other Liabilities +,82,76,102,112,169,188,377,493,515,497,381,396,406
Total Liabilities,235,238,264,295,427,461,865,"1,073","1,091","1,074",978,920,896
Fixed Assets +,73,72,63,75,72,72,250,239,205,256,253,239,229
CWIP,1,0,0,0,0,21,11,27,14,11,19,12,0
Investments,0,0,0,0,0,1,45,14,12,40,49,7,7
Other Assets +,162,166,200,220,354,366,559,793,860,766,658,661,660
Total Assets,235,238,264,295,427,461,865,"1,073","1,091","1,074",978,920,896
