,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,56.39,57.25,53.46,63.45,62.13,76.96,85.37,97.29,111.97,90.45
Expenses +,50.73,53.84,46.61,56.34,58.00,75.82,79.52,89.59,101.31,90.07
Operating Profit,5.66,3.41,6.85,7.11,4.13,1.14,5.85,7.70,10.66,0.38
OPM %,10.04%,5.96%,12.81%,11.21%,6.65%,1.48%,6.85%,7.91%,9.52%,0.42%
Other Income +,0.57,1.64,5.17,3.02,4.65,5.30,0.42,4.40,10.78,11.78
Interest,2.12,1.70,1.45,1.71,1.07,0.57,0.20,0.08,0.22,0.24
Depreciation,9.06,6.07,0.83,2.78,3.07,3.12,3.16,1.23,1.66,1.63
Profit before tax,-4.95,-2.72,9.74,5.64,4.64,2.75,2.91,10.79,19.56,10.29
Tax %,-4.04%,48.16%,29.67%,55.32%,39.44%,63.27%,36.43%,32.81%,27.97%,
Net Profit,-5.15,-1.40,6.85,2.52,2.81,1.01,1.85,7.25,14.09,4.82
EPS in Rs,-2.45,-0.67,3.26,1.20,1.34,0.48,0.88,3.45,6.70,2.29
