,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83
Reserves,6.96,7.93,8.80,6.83,7.54,-0.44,-9.23,-16.62,-20.97
Borrowings +,7.12,5.99,7.84,8.61,7.28,16.13,18.04,24.16,29.39
Other Liabilities +,7.96,7.49,9.16,7.73,7.37,8.49,8.90,10.41,7.26
Total Liabilities,32.87,32.24,36.63,34.00,33.02,35.01,28.54,28.78,26.51
Fixed Assets +,3.11,3.12,2.63,2.05,2.31,1.88,1.33,0.88,0.59
CWIP,0.00,0.00,0.00,0.84,0.00,11.16,12.07,14.99,16.51
Investments,0.75,0.75,0.75,0.73,0.73,0.72,0.72,0.72,0.72
Other Assets +,29.01,28.37,33.25,30.38,29.98,21.25,14.42,12.19,8.69
Total Assets,32.87,32.24,36.63,34.00,33.02,35.01,28.54,28.78,26.51
