,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,691,784,762,881,988,"1,164"
Expenses +,604,687,669,739,865,"1,030"
Operating Profit,86,97,93,141,123,134
OPM %,12%,12%,12%,16%,12%,12%
Other Income +,2,2,3,10,6,8
Interest,7,13,16,10,7,11
Depreciation,28,35,42,45,46,50
Profit before tax,53,51,39,97,76,80
Tax %,32%,35%,22%,26%,25%,
Net Profit,36,33,30,72,57,60
EPS in Rs,6.27,5.79,5.29,12.30,9.72,10.26
