,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,41,38,38,47,47,47,46,46,46,46,46
Reserves,502,829,724,933,"1,116",963,"1,244","1,091","1,192","1,243","1,214","1,197"
Borrowings +,0,1,1,0,3,3,3,3,64,64,70,73
Other Liabilities +,433,446,395,361,878,872,939,959,"1,024","1,178","1,262","1,357"
Total Liabilities,975,"1,317","1,159","1,332","2,044","1,884","2,233","2,098","2,326","2,530","2,592","2,673"
Fixed Assets +,270,139,142,133,523,519,539,530,574,543,520,515
CWIP,5,6,18,2,9,23,27,17,16,16,42,54
Investments,353,817,684,915,600,336,573,377,84,0,0,0
Other Assets +,347,356,316,283,912,"1,007","1,094","1,174","1,652","1,970","2,030","2,103"
Total Assets,975,"1,317","1,159","1,332","2,044","1,884","2,233","2,098","2,326","2,530","2,592","2,673"
