,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,146","1,383","1,306","1,590","1,773"
Expenses +,948,"1,129","1,012","1,190","1,293"
Operating Profit,198,254,294,400,479
OPM %,17%,18%,22%,25%,27%
Other Income +,13,5,16,8,9
Interest,7,7,8,14,17
Depreciation,54,57,63,92,114
Profit before tax,150,195,238,301,358
Tax %,36%,31%,29%,26%,
Net Profit,96,135,169,224,266
EPS in Rs,6.50,9.10,11.39,14.63,17.45
