,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,42,43,43,43,43,43,43
Reserves,592,707,857,953,"1,168","1,364","1,417"
Borrowings +,6,7,14,13,69,68,91
Other Liabilities +,294,414,458,447,594,621,555
Total Liabilities,934,"1,171","1,372","1,455","1,875","2,097","2,107"
Fixed Assets +,169,218,231,284,370,463,504
CWIP,10,7,8,67,20,17,14
Investments,89,75,83,36,33,33,134
Other Assets +,666,870,"1,050","1,068","1,452","1,583","1,454"
Total Assets,934,"1,171","1,372","1,455","1,875","2,097","2,107"
