,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jun 2020
Share Capital +,29,29,29,59,59,60,60,60,60,59,59,60,60
Reserves,634,821,936,958,"1,145","1,139","1,230","1,373","1,681","1,948","2,332","2,706","2,932"
Borrowings +,19,16,11,0,0,0,0,0,0,0,0,143,805
Other Liabilities +,371,271,279,433,362,609,463,587,570,538,742,"1,260","1,388"
Total Liabilities,"1,053","1,137","1,255","1,449","1,565","1,808","1,754","2,021","2,311","2,545","3,133","4,169","5,185"
Fixed Assets +,290,310,311,397,444,515,514,533,479,541,574,"2,038","2,581"
CWIP,160,126,97,80,76,22,35,116,323,256,224,86,23
Investments,0,127,40,23,235,338,186,41,21,21,13,3,3
Other Assets +,603,574,808,949,810,933,"1,019","1,330","1,488","1,726","2,322","2,042","2,578"
Total Assets,"1,053","1,137","1,255","1,449","1,565","1,808","1,754","2,021","2,311","2,545","3,133","4,169","5,185"
