,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,25,25,25
Reserves,578,832,"1,155","1,502","1,478"
Borrowings +,83,186,143,97,91
Other Liabilities +,123,142,151,205,211
Total Liabilities,783,"1,173","1,474","1,830","1,806"
Fixed Assets +,271,357,441,534,670
CWIP,111,102,96,30,87
Investments,7,338,542,598,444
Other Assets +,394,376,395,667,604
Total Assets,783,"1,173","1,474","1,830","1,806"
