,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,29,28,28,28,28,28,28,28
Reserves,299,344,464,731,927,987,"1,112","1,159"
Borrowings +,60,91,138,237,242,237,322,345
Other Liabilities +,208,208,182,103,42,59,64,76
Total Liabilities,596,671,812,"1,099","1,239","1,311","1,527","1,609"
Fixed Assets +,266,248,237,469,443,421,399,566
CWIP,8,23,91,11,60,178,281,217
Investments,39,59,145,165,234,236,264,276
Other Assets +,283,341,339,455,502,475,583,550
Total Assets,596,671,812,"1,099","1,239","1,311","1,527","1,609"
