,Mar 2016,Mar 2017
Share Capital +,38,38
Reserves,"1,254","1,351"
Borrowings +,354,437
Other Liabilities +,372,943
Total Liabilities,"2,017","2,769"
Fixed Assets +,430,511
CWIP,68,71
Investments,194,17
Other Assets +,"1,326","2,169"
Total Assets,"2,017","2,769"
