,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,958,958,958,"1,030","1,030","1,030"
Reserves,"1,012","1,046","1,203","1,796","2,107","2,282"
Borrowings +,"4,077","3,788","3,640","4,081","4,029","4,005"
Other Liabilities +,"2,622","2,387","2,536","1,958","1,779","2,383"
Total Liabilities,"8,551","8,060","8,219","8,865","8,945","9,700"
Fixed Assets +,"1,879","2,152","2,167","1,899","1,921","1,978"
CWIP,18,22,24,53,2,2
Investments,1,3,0,0,1,3
Other Assets +,"6,654","5,884","6,027","6,913","7,021","7,717"
Total Assets,"8,551","8,060","8,219","8,865","8,945","9,700"
