,Mar 2015,Mar 2016,Mar 2017
Share Capital +,5,5,5
Reserves,19,24,32
Borrowings +,45,34,20
Other Liabilities +,38,43,64
Total Liabilities,107,106,121
Fixed Assets +,37,45,49
CWIP,-0,-0,-0
Investments,0,0,0
Other Assets +,69,60,71
Total Assets,107,106,121
