,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,2,10,10,32,36,36
Reserves,37,56,72,101,135,486,508
Borrowings +,27,44,54,59,137,1,1
Other Liabilities +,43,54,77,61,110,136,150
Total Liabilities,109,155,213,232,413,659,695
Fixed Assets +,28,32,79,85,186,205,242
CWIP,11,30,2,12,0,3,7
Investments,1,3,2,2,1,2,2
Other Assets +,68,91,131,133,225,450,444
Total Assets,109,155,213,232,413,659,695
