,Mar 2016,Mar 2017
Share Capital +,24,24
Reserves,-385,-395
Borrowings +,95,97
Other Liabilities +,303,324
Total Liabilities,21,33
Fixed Assets +,6,7
CWIP,0,0
Investments,0,0
Other Assets +,14,26
Total Assets,21,33
