,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,050","1,147","1,416","1,619"
Expenses +,942,953,"1,216","1,437"
Operating Profit,109,193,200,182
OPM %,10%,17%,14%,11%
Other Income +,7,9,10,11
Interest,17,13,12,13
Depreciation,41,40,38,44
Profit before tax,57,149,161,136
Tax %,14%,26%,26%,
Net Profit,49,111,118,100
EPS in Rs,31.04,67.13,68.47,58.39
