,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,926,"1,029",967,"1,037","1,350","1,458"
Expenses +,802,894,864,901,"1,132","1,271"
Operating Profit,124,135,104,136,219,187
OPM %,13%,13%,11%,13%,16%,13%
Other Income +,2,2,5,3,7,8
Interest,18,16,16,9,10,13
Depreciation,12,11,14,15,17,17
Profit before tax,95,109,78,115,198,165
Tax %,33%,33%,26%,26%,26%,
Net Profit,64,74,57,85,147,125
EPS in Rs,11.22,12.98,10.11,15.04,25.93,22.05
