,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,122,128,114,125,120,86,31
Expenses +,116,119,106,118,112,85,46
Operating Profit,6,10,8,7,8,1,-14
OPM %,5%,7%,7%,6%,7%,1%,-45%
Other Income +,1,1,1,1,1,1,1
Interest,5,6,5,5,5,5,5
Depreciation,2,2,3,3,4,4,4
Profit before tax,1,1,1,0,0,-7,-23
Tax %,34%,58%,9%,-22%,12%,-3%,
Net Profit,0,1,1,0,0,-7,-23
EPS in Rs,0.34,0.58,0.54,0.40,0.33,-6.39,-20.61
