,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,60,60,60,60,60,60,60,60,60,60,60,60
Reserves,"2,245","2,326","2,103","1,642","1,154","1,033","1,013",527,72,-544,"-1,232","-1,557"
Borrowings +,"2,222","3,034","1,580","1,339","1,746","1,719","1,608","1,705","1,743","1,702","2,561","2,687"
Other Liabilities +,"1,037",843,"1,199","1,250","2,247","1,483","2,010","1,437","2,163","1,465","1,369","3,642"
Total Liabilities,"5,564","6,263","4,942","4,291","5,207","4,295","4,692","3,728","4,037","2,682","2,757","4,831"
Fixed Assets +,"3,207","3,106","3,022","2,866","2,782","2,658","2,578","2,480","2,398","2,188","2,106","2,066"
CWIP,1,6,30,3,7,8,22,28,28,4,0,0
Investments,23,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,"2,333","3,150","1,890","1,422","2,418","1,629","2,091","1,220","1,610",490,651,"2,766"
Total Assets,"5,564","6,263","4,942","4,291","5,207","4,295","4,692","3,728","4,037","2,682","2,757","4,831"
