,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,13,13,13,13,13,10,11,18,18,18,18,20
Reserves,506,778,813,856,870,877,310,472,"1,371",290,394,212,-131
Borrowings +,246,0,10,29,291,444,697,671,342,"1,141",332,573,364
Other Liabilities +,18,27,63,81,64,729,138,72,240,235,881,257,38
Total Liabilities,781,815,896,976,"1,235","2,060","1,155","1,226","1,971","1,684","1,625","1,060",291
Fixed Assets +,33,61,399,469,690,937,604,502,420,355,235,215,3
CWIP,0,0,16,0,6,0,0,0,0,0,1,0,0
Investments,42,331,0,0,0,0,0,222,874,541,589,70,48
Other Assets +,705,423,481,507,539,"1,124",551,502,677,788,801,775,240
Total Assets,781,815,896,976,"1,235","2,060","1,155","1,226","1,971","1,684","1,625","1,060",291
