,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,46,46,46,46,46,46
Reserves,80,105,119,129,137,121
Borrowings +,75,68,73,58,76,81
Other Liabilities +,31,92,90,90,90,79
Total Liabilities,232,313,329,323,350,327
Fixed Assets +,90,138,151,149,144,143
CWIP,13,2,0,7,8,9
Investments,0,1,1,2,2,2
Other Assets +,128,172,176,166,197,173
Total Assets,232,313,329,323,350,327
