,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,10,16,16,16,16,16,16,16,16
Reserves,51,62,73,90,105,119,165,184,185,216,241,253
Borrowings +,3,3,5,8,13,15,-0,-0,-0,3,4,5
Other Liabilities +,14,23,28,31,27,55,54,50,55,54,63,65
Total Liabilities,77,96,115,139,160,205,235,251,256,290,324,340
Fixed Assets +,17,19,21,21,41,83,83,86,94,105,110,120
CWIP,1,2,6,17,6,1,4,1,6,8,3,1
Investments,10,15,13,10,8,12,16,33,14,26,47,51
Other Assets +,48,60,74,90,106,109,132,130,142,151,163,168
Total Assets,77,96,115,139,160,205,235,251,256,290,324,340
