,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,40,40,45,45,45
Reserves,507,508,234,142,18,-71
Borrowings +,0,0,849,944,"1,069","1,143"
Other Liabilities +,373,365,471,428,434,522
Total Liabilities,881,914,"1,594","1,559","1,565","1,638"
Fixed Assets +,239,263,"1,055","1,053","1,049","1,069"
CWIP,0,1,10,3,8,4
Investments,7,23,24,35,94,93
Other Assets +,635,627,505,468,415,473
Total Assets,881,914,"1,594","1,559","1,565","1,638"
